ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10121,19,4,21,22,8,23,19,11,17,27
10122,0,8,0,14,0,20,0,11,0,0
10123,0,0,0,0,0,0,11,22,0,34
10124,4,4,4,4,4,4,4,4,4,4
10125,0,0,0,0,0,0,0,0,0,0
10126,2,2,2,2,2,2,2,2,2,2
10127,0,0,0,0,0,0,0,0,0,0
10128,23,23,23,23,23,23,23,23,23,23
10129,0,0,0,0,0,0,0,0,0,22
10130,0,0,0,27,0,0,11,0,0,15
10131,0,0,0,0,0,0,0,0,0,0
10132,0,0,0,0,0,0,0,0,0,0
10133,15,15,15,15,15,15,15,15,15,15
10134,0,0,0,0,0,0,0,0,0,0
10135,0,0,0,0,0,0,0,0,0,0
10136,21,21,21,21,21,21,21,21,21,21
10137,24,24,24,24,24,24,24,24,24,24
10138,0,0,0,11,0,0,0,0,0,0
10139,0,0,0,0,0,0,0,0,0,0
10140,22,22,22,22,23,22,22,22,22,22
10141,20,20,20,20,20,20,20,20,20,20
10142,0,0,0,0,0,0,0,0,0,0
10143,0,0,0,0,0,0,0,0,0,0
10144,0,0,0,0,0,0,0,0,0,0
10145,12,12,12,12,12,12,12,12,12,12
10146,0,0,0,0,9,0,0,0,0,0
10147,0,0,0,0,0,0,0,0,0,0
10148,0,0,0,0,0,0,0,0,0,0
10149,0,0,0,0,0,0,0,0,0,0
10150,0,0,0,36,0,0,0,11,0,0
10151,12,12,12,12,12,12,12,12,12,12
10152,24,24,24,24,24,24,24,24,24,24
10153,0,0,0,0,0,0,0,0,0,0
10154,0,0,0,0,0,0,0,0,0,0
10155,16,16,16,16,16,16,16,16,16,16
10156,0,20,0,10,0,23,0,16,7,20
10157,0,0,0,0,0,0,0,0,0,0
10158,0,0,0,0,0,0,0,0,0,0
10159,0,0,0,0,0,0,0,0,0,0
10160,0,0,0,0,0,0,0,0,0,0
10161,6,9,12,14,11,24,5,20,20,12
10162,0,20,0,0,0,0,0,0,0,0
10163,0,0,0,0,0,0,0,0,0,0
10164,11,0,40,10,9,19,0,12,5,22
10165,0,0,12,0,0,0,0,0,0,14
10166,11,11,11,11,11,11,11,11,11,11
10167,0,0,0,0,0,0,0,0,0,0
10168,0,0,0,0,0,0,0,0,0,0
10169,0,0,0,0,0,0,0,0,0,0
10170,0,0,0,0,0,0,0,18,0,0
10171,22,22,22,22,22,22,22,22,22,22
10172,14,14,14,14,14,14,14,14,14,14
10173,0,0,0,0,0,0,0,0,0,0
10174,0,8,0,0,0,0,0,0,0,0
10175,0,0,0,0,0,0,0,0,0,0
10176,0,0,0,0,0,9,0,0,0,0
10177,0,0,0,0,0,0,0,0,0,0
10178,0,0,0,0,0,0,0,0,0,0
10179,0,0,0,0,0,0,0,0,0,0
10180,0,0,0,0,0,0,0,0,0,0
10181,0,0,0,0,0,0,0,0,0,0
10182,0,0,0,0,0,0,6,0,13,0
10183,24,18,28,17,0,4,9,0,0,0
10184,12,12,12,12,12,12,12,12,12,12
10185,7,7,7,7,7,7,11,7,7,12
10186,0,0,0,0,0,0,0,0,11,0
10187,0,0,0,0,0,0,0,16,5,0
10188,0,26,21,14,0,0,0,0,23,0
10189,2,2,2,2,2,2,2,2,2,2
10190,0,0,0,0,0,0,0,0,0,0
10191,9,0,3,0,0,10,0,0,0,0
10192,10,0,0,0,0,0,0,0,0,0
10193,30,30,30,30,30,30,30,30,30,30
10194,0,0,0,0,0,0,0,0,0,0
10195,0,0,0,0,0,0,0,0,0,0
10196,0,0,0,0,0,0,0,0,0,0
10197,0,0,0,0,0,0,0,0,0,0
10198,11,11,11,11,11,11,11,11,11,11
10199,0,0,0,0,0,0,0,0,34,0
10200,0,0,0,0,0,0,0,0,0,0
10201,18,18,18,18,18,18,18,18,18,18
10202,8,8,8,8,8,8,8,8,8,8
10203,0,0,0,0,0,0,0,0,0,0
10204,0,0,9,13,11,0,11,0,0,0
10205,0,0,0,0,0,0,0,0,0,0
10206,0,0,0,0,0,0,0,0,0,0
10207,0,0,0,0,0,0,0,0,0,0
10208,0,0,0,0,0,0,0,0,0,0
10209,18,4,0,0,0,0,0,16,0,0
10210,0,0,10,0,12,0,0,15,0,0
10211,0,0,0,0,0,0,22,20,0,0
10212,12,19,23,12,10,2,15,13,13,11
10213,4,4,4,4,4,4,4,4,4,4
10214,0,0,0,0,0,0,0,0,0,0
10215,0,0,0,0,0,0,0,0,7,0
10216,0,0,0,0,0,0,0,11,0,0
10217,27,27,27,27,27,27,27,27,27,27
10218,16,34,11,29,12,25,20,0,22,0
10219,18,19,18,10,5,15,10,7,10,17
10220,0,0,0,0,0,0,0,0,0,0
10221,0,0,0,0,0,0,0,0,0,0
10222,0,0,0,0,0,0,15,0,0,24
10223,21,21,21,21,21,21,21,21,21,21
10224,0,0,0,0,0,0,0,0,0,0
10225,0,0,0,0,0,0,0,0,0,0
10226,0,0,0,0,0,0,0,0,0,0
10227,36,36,36,36,36,36,36,36,36,36
10228,0,0,0,0,0,0,0,0,0,0
10229,0,0,0,0,0,0,0,0,0,0
10230,0,0,0,0,0,0,0,0,0,0
10231,0,0,0,0,0,0,0,0,0,0
10232,24,20,19,20,40,40,13,24,16,22
10233,22,22,22,22,22,22,22,22,22,22
10234,16,16,16,16,16,16,16,16,16,16
10235,25,18,23,0,0,5,16,27,29,12
10236,0,0,0,25,21,17,0,12,11,13
10237,24,24,24,24,24,24,24,24,24,24
10238,0,0,0,0,0,0,0,0,0,0
10239,0,0,0,0,0,0,0,0,0,0
10240,0,0,0,0,0,0,0,0,0,0
10241,0,0,0,0,0,0,0,0,0,0
10242,20,0,0,3,14,0,1,0,0,0
10243,0,0,0,0,0,0,0,0,0,0
10244,0,0,0,0,0,0,0,0,0,0
10245,30,30,30,30,30,30,30,30,30,30
10246,0,0,0,0,0,0,0,0,0,0
10247,23,23,23,23,23,23,23,23,23,23
10248,20,20,20,20,20,20,20,20,20,20
10249,26,3,12,13,22,27,9,19,0,22
10250,31,31,31,31,31,31,31,31,31,31
10251,0,0,0,0,0,0,0,0,0,0
10252,7,0,25,0,5,0,0,16,0,0
10253,0,0,0,0,0,0,0,0,0,22
10254,0,0,0,0,0,0,0,0,0,0
10255,0,0,0,0,0,0,0,0,0,0
10256,0,14,16,16,0,0,0,0,0,0
10257,0,0,0,0,0,0,0,0,0,0
10258,0,0,0,0,0,0,0,0,0,0
10259,0,0,0,0,0,0,0,0,0,14
10260,0,0,0,0,0,0,0,0,0,0
10261,0,0,0,0,0,0,26,0,0,0
10262,28,0,0,0,0,0,0,0,9,0
10263,0,0,0,0,0,0,0,0,0,0
10264,25,25,25,25,25,25,25,25,25,25
10265,0,0,0,0,0,0,0,0,0,0
10266,14,14,14,14,14,14,14,14,14,14
10267,0,0,0,0,0,0,0,0,0,0
10268,0,0,0,0,0,0,0,0,0,0
10269,0,0,22,0,19,16,9,0,0,0
10270,0,0,0,0,0,0,0,0,0,0
10271,0,0,0,0,0,0,0,0,0,0
10272,0,0,0,0,0,0,0,0,0,0
10273,12,0,0,0,0,0,8,0,0,12
10274,0,0,0,0,0,0,24,0,0,0
10275,0,0,0,26,0,0,0,0,0,24
10276,0,0,0,0,0,0,0,0,0,0
10277,14,0,5,0,0,9,9,0,0,0
10278,0,0,0,0,0,0,0,0,0,0
10279,0,0,0,4,0,0,0,0,0,0
10280,0,0,0,0,0,0,0,0,0,0
10282,16,16,16,16,16,16,16,16,16,16
10283,0,0,0,0,0,0,0,0,0,0
10284,94,94,94,94,94,94,94,94,94,94
10285,9,9,9,9,9,9,9,9,9,9
10286,0,0,0,0,0,0,0,0,0,0
10287,0,0,0,21,0,0,0,0,11,0
10288,0,0,0,0,0,0,0,0,7,0
10289,0,0,0,0,0,0,0,0,0,0
10290,0,0,0,0,0,0,0,0,0,0
10291,17,17,17,17,17,17,17,17,17,17
10292,0,0,0,0,0,0,0,0,0,0
10293,0,0,0,0,0,0,0,0,0,0
10294,18,0,23,24,0,18,13,35,0,0
10295,16,20,13,18,27,0,0,0,24,0
10296,0,0,0,0,0,0,0,0,0,0
10297,0,0,0,0,0,0,0,0,0,0
10298,0,0,0,0,0,0,0,0,0,0
10299,21,21,21,21,21,21,21,21,21,21
10300,0,22,0,16,0,0,0,0,0,0
10301,0,0,0,0,0,0,0,0,0,0
10302,0,18,7,0,0,16,14,0,0,20
10303,0,0,0,0,0,0,0,0,0,0
10304,2,2,2,2,2,2,2,2,2,2
10305,15,15,15,15,15,15,15,15,15,15
10306,0,0,0,0,0,0,0,0,0,0
10307,0,0,0,0,0,0,0,12,0,0
10308,20,20,20,20,20,20,20,20,20,20
10309,20,20,20,20,20,20,20,20,20,20
10310,0,0,0,0,0,0,0,0,0,0
10311,0,0,0,0,0,0,0,0,0,0
10312,0,0,0,0,0,0,16,0,0,0
10313,11,11,11,11,11,11,11,11,11,11
10314,0,0,0,0,0,11,0,21,37,23
10315,0,0,0,0,0,0,0,0,0,0
10316,0,0,0,0,0,0,0,0,0,0
10317,0,0,0,0,0,0,0,0,0,0
10318,0,5,20,0,16,22,0,0,0,23
10319,19,0,0,28,0,15,11,7,21,32
10320,0,0,0,0,0,0,0,0,0,0
10321,0,0,0,12,0,0,0,15,0,0
10322,0,0,0,0,0,0,0,0,0,0
10323,0,0,0,0,0,0,0,0,0,0
10324,22,22,22,22,41,22,22,22,22,22
10325,0,0,0,0,0,0,0,0,0,0
10326,0,0,0,0,0,0,0,0,0,0
10327,0,13,0,0,0,0,0,0,0,0
10328,0,0,0,3,18,0,0,0,0,0
10329,30,30,30,30,30,30,30,30,30,30
10330,0,0,0,0,0,0,0,0,0,0
10331,0,0,0,0,0,0,0,0,0,0
10332,0,0,0,0,0,0,0,0,0,0
10333,0,0,0,0,0,0,0,22,0,5
10334,0,0,0,0,0,0,0,0,0,0
10335,11,11,11,11,11,11,11,11,11,11
10336,8,8,8,8,8,8,8,8,8,8
10337,9,9,9,9,9,9,9,9,9,9
10338,0,6,14,0,15,18,7,24,12,7
10339,10,10,10,10,10,10,10,10,10,10
10340,0,0,0,0,0,0,0,0,0,0
10341,0,0,0,0,0,0,0,0,0,0
10342,11,11,11,11,11,11,11,11,11,11
10343,0,0,0,0,0,0,0,0,0,0
10344,18,18,18,18,18,18,18,18,18,18
10345,5,5,5,5,5,5,5,5,5,5
10346,0,0,4,0,0,0,0,0,9,0
10347,0,0,0,0,0,0,0,0,0,0
10348,0,0,20,0,0,0,0,0,0,0
10349,0,0,0,0,0,0,0,0,0,0
10350,13,13,13,13,13,13,17,13,13,13
10351,0,0,0,0,8,0,0,0,0,9
10352,9,15,21,9,9,9,9,9,9,14
10353,21,21,21,21,21,21,21,21,21,21
10354,0,0,0,0,0,0,0,0,0,0
10355,0,0,0,0,0,0,0,0,0,0
10356,0,0,0,0,0,0,0,0,0,0
10357,17,17,17,17,17,17,17,17,17,17
10358,0,0,0,0,0,0,0,0,0,0
10359,0,0,0,0,0,0,0,0,0,0
10360,21,4,8,9,16,9,0,7,11,6
10361,22,16,0,26,0,20,0,11,0,15
10362,0,0,0,0,0,0,0,0,0,0
10363,27,27,27,27,27,27,27,27,27,27
10364,19,25,7,5,6,17,20,15,7,24
10365,20,20,20,20,20,27,20,30,20,20
10366,0,0,0,0,0,0,0,0,0,0
10367,0,0,0,0,0,0,0,0,0,0
10368,3,3,3,3,3,3,3,3,3,3
10369,0,0,0,0,0,0,0,0,0,0
10370,0,0,0,0,21,0,0,0,0,0
10371,31,31,31,31,31,31,31,31,31,31
10372,21,0,0,13,0,0,28,0,0,0
10373,0,0,0,0,0,0,0,0,0,0
10374,0,20,10,0,0,0,14,0,7,0
10375,0,0,0,9,14,17,0,0,0,0
10376,31,31,31,31,31,31,31,31,31,31
10377,0,0,0,0,0,0,0,0,0,0
10378,15,15,15,15,15,15,15,15,15,15
10379,0,0,0,0,0,0,0,0,0,0
10380,0,0,0,0,0,0,0,0,0,0
10381,20,20,20,20,20,20,20,20,20,20
10382,0,0,0,0,0,0,0,0,0,0
10383,0,0,0,15,0,21,0,0,8,0
10384,26,26,26,26,26,26,26,26,26,26
10385,0,0,0,23,15,31,11,0,0,0
10386,0,0,0,0,0,0,0,0,0,0
10387,0,0,0,0,0,0,0,0,0,0
10388,0,0,0,0,0,0,0,0,0,0
10389,12,20,15,9,8,0,17,7,13,18
10390,18,0,7,0,0,0,0,0,0,0
10391,0,0,0,0,0,0,0,0,0,0
10392,0,0,0,0,0,0,0,0,0,0
10393,17,17,18,17,17,17,17,17,17,17
10394,23,23,23,23,23,23,23,23,23,23
10395,23,23,23,23,23,23,23,23,23,23
10396,9,17,0,0,0,0,0,0,0,0
10397,25,25,25,25,25,25,25,25,25,25
10398,4,33,0,0,9,0,22,16,0,0
10399,0,0,0,0,0,0,0,0,0,0
10400,17,17,17,17,17,17,17,17,17,17
10401,0,0,0,0,0,0,0,0,0,0
10402,0,0,0,0,0,0,0,0,0,0
10403,26,26,26,26,26,26,26,26,26,26
10404,0,0,0,0,0,0,0,0,0,0
10405,0,0,0,0,0,0,0,0,0,0
10406,0,0,0,0,0,0,0,0,0,0
10407,0,0,0,13,13,31,0,4,14,0
10408,0,0,0,0,0,0,0,0,0,0
10410,0,0,0,0,0,0,0,0,0,0
10412,0,0,0,0,0,0,0,0,0,0
10413,13,13,13,13,13,13,13,13,23,13
10414,0,0,0,0,0,0,0,0,0,12
10415,12,19,13,17,13,38,17,0,13,32
10416,0,0,0,0,0,0,0,0,0,0
10417,0,0,0,0,0,0,0,0,0,0
10418,12,12,12,12,12,12,12,12,12,12
10419,8,18,0,20,0,0,7,6,20,25
10420,0,0,0,0,0,0,0,0,0,0
10421,0,0,0,26,0,0,0,0,0,0
10422,7,7,7,7,7,7,7,7,7,7
10423,17,17,17,17,17,20,17,17,17,17
10424,0,0,16,0,0,0,0,0,0,0
10425,14,0,0,0,0,0,30,0,16,0
10426,0,0,0,0,0,0,12,0,0,0
10427,0,0,0,0,0,0,0,0,0,0
10428,0,0,0,0,0,0,0,0,0,0
10429,26,26,26,26,26,26,26,26,26,26
10430,28,28,28,28,28,28,28,28,28,28
10431,0,0,0,0,0,0,0,0,0,0
10432,0,0,0,0,0,13,0,0,0,0
10433,23,0,8,41,0,21,19,0,0,0
10434,8,0,0,0,18,12,0,0,0,0
10435,18,18,18,18,18,18,18,18,18,18
10436,0,0,0,0,0,0,0,0,0,0
10437,0,12,0,18,0,18,0,26,0,16
10438,17,17,17,17,17,17,17,17,17,17
10439,24,24,24,24,24,24,24,24,24,24
10440,0,0,0,0,0,0,0,0,0,0
10441,27,23,22,13,23,11,32,22,41,17
10442,12,12,12,12,12,12,12,12,12,12
10443,30,30,30,30,30,30,30,30,30,30
10444,11,11,11,11,11,11,11,11,11,11
10445,19,19,19,19,19,19,23,19,19,22
10446,0,7,0,0,13,0,0,0,0,0
10447,10,0,0,24,0,0,0,0,0,0
10448,7,7,7,7,7,7,7,7,7,7
10449,0,0,0,0,0,0,0,0,0,0
