STATE,STATENAME,ST_CASE,VEH_NO,PVEHICLESF,PVEHICLESFNAME
6,California,62347,2,0,None Noted
6,California,62347,3,0,None Noted
6,California,62358,2,0,None Noted
6,California,62473,3,0,None Noted
6,California,62478,2,0,None Noted
6,California,62493,2,0,None Noted
6,California,62493,4,0,None Noted
6,California,62513,2,0,None Noted
6,California,62547,2,0,None Noted
6,California,62621,2,39,"Highway Construction, Maintenance, or Utility Vehicle, In Transport (Inside or Outside Workzone)"
6,California,62648,2,0,None Noted
6,California,62692,2,0,None Noted
6,California,62739,2,0,None Noted
6,California,62750,2,0,None Noted
6,California,62750,3,0,None Noted
6,California,62750,4,0,None Noted
6,California,62829,2,0,None Noted
6,California,62881,2,0,None Noted
6,California,62885,2,0,None Noted
6,California,62886,2,0,None Noted
6,California,62942,2,0,None Noted
6,California,62948,2,0,None Noted
6,California,62992,2,0,None Noted
6,California,62992,3,0,None Noted
6,California,62992,4,0,None Noted
6,California,62992,5,0,None Noted
6,California,62995,2,0,None Noted
6,California,63026,2,0,None Noted
6,California,63036,2,39,"Highway Construction, Maintenance, or Utility Vehicle, In Transport (Inside or Outside Workzone)"
6,California,63045,3,0,None Noted
6,California,63045,4,0,None Noted
6,California,63052,2,0,None Noted
6,California,63054,8,0,None Noted
6,California,63054,9,0,None Noted
6,California,63064,2,0,None Noted
6,California,63097,2,0,None Noted
6,California,63097,3,0,None Noted
6,California,63129,2,0,None Noted
6,California,63132,2,0,None Noted
6,California,63132,3,0,None Noted
6,California,63132,4,0,None Noted
6,California,63132,5,0,None Noted
6,California,63143,3,0,None Noted
6,California,63143,4,0,None Noted
6,California,63145,3,0,None Noted
6,California,63145,4,0,None Noted
6,California,63145,5,0,None Noted
6,California,63145,6,0,None Noted
6,California,63156,2,0,None Noted
6,California,63168,2,0,None Noted
6,California,63171,3,0,None Noted
6,California,63171,4,0,None Noted
6,California,63201,3,0,None Noted
6,California,63201,4,0,None Noted
6,California,63201,5,0,None Noted
6,California,63201,6,0,None Noted
6,California,63201,7,0,None Noted
6,California,63201,8,0,None Noted
6,California,63201,9,0,None Noted
6,California,63205,2,0,None Noted
6,California,63208,2,0,None Noted
6,California,63208,3,0,None Noted
6,California,63228,2,0,None Noted
6,California,63237,3,0,None Noted
6,California,63238,3,0,None Noted
6,California,63238,4,0,None Noted
6,California,63238,5,0,None Noted
6,California,63238,6,0,None Noted
6,California,63239,2,0,None Noted
6,California,63286,2,0,None Noted
6,California,63310,2,0,None Noted
6,California,63310,3,0,None Noted
6,California,63320,2,0,None Noted
6,California,63324,2,0,None Noted
6,California,63342,2,0,None Noted
6,California,63359,2,0,None Noted
6,California,63377,3,0,None Noted
6,California,63377,4,0,None Noted
6,California,63390,2,0,None Noted
6,California,63395,2,0,None Noted
6,California,63444,3,0,None Noted
6,California,63444,4,0,None Noted
6,California,63455,2,0,None Noted
6,California,63471,2,0,None Noted
6,California,63478,3,0,None Noted
6,California,63478,4,0,None Noted
6,California,63490,2,0,None Noted
6,California,63536,2,0,None Noted
6,California,63578,2,0,None Noted
6,California,63582,2,0,None Noted
6,California,63595,2,0,None Noted
6,California,63595,3,0,None Noted
6,California,63600,2,0,None Noted
6,California,63600,3,0,None Noted
6,California,63653,2,0,None Noted
6,California,63653,3,0,None Noted
6,California,63701,2,0,None Noted
6,California,63705,3,0,None Noted
6,California,63705,4,0,None Noted
6,California,63705,5,0,None Noted
6,California,63706,3,0,None Noted
6,California,63718,3,0,None Noted
6,California,63750,4,0,None Noted
6,California,63760,3,0,None Noted
6,California,63760,4,0,None Noted
6,California,63760,5,0,None Noted
6,California,63768,2,0,None Noted
6,California,63773,2,0,None Noted
6,California,63773,3,0,None Noted
6,California,63779,3,0,None Noted
6,California,63779,4,0,None Noted
6,California,63782,2,0,None Noted
6,California,63787,2,0,None Noted
6,California,63787,3,0,None Noted
6,California,63789,2,0,None Noted
6,California,63799,2,0,None Noted
6,California,63835,2,0,None Noted
6,California,63838,2,0,None Noted
6,California,63843,3,0,None Noted
6,California,63865,3,0,None Noted
6,California,63898,2,0,None Noted
6,California,63929,2,0,None Noted
6,California,63954,2,0,None Noted
6,California,63954,3,0,None Noted
6,California,63988,2,0,None Noted
6,California,64004,2,0,None Noted
6,California,64004,3,0,None Noted
6,California,64004,4,0,None Noted
6,California,64004,5,0,None Noted
6,California,64004,6,0,None Noted
6,California,64009,2,0,None Noted
6,California,64023,2,0,None Noted
6,California,64023,3,0,None Noted
6,California,64103,3,0,None Noted
6,California,64117,5,0,None Noted
6,California,64140,2,0,None Noted
6,California,64220,2,0,None Noted
6,California,64225,3,0,None Noted
6,California,64225,4,0,None Noted
6,California,64231,2,0,None Noted
6,California,64255,2,35,Reconstructed/Altered Vehicle
6,California,64257,3,0,None Noted
6,California,64257,4,0,None Noted
6,California,64273,2,0,None Noted
8,Colorado,80001,2,0,None Noted
8,Colorado,80001,3,0,None Noted
8,Colorado,80034,2,0,None Noted
8,Colorado,80074,2,0,None Noted
8,Colorado,80115,3,0,None Noted
8,Colorado,80223,2,0,None Noted
8,Colorado,80244,2,0,None Noted
8,Colorado,80305,2,0,None Noted
8,Colorado,80305,3,0,None Noted
8,Colorado,80305,4,0,None Noted
8,Colorado,80322,2,0,None Noted
8,Colorado,80397,2,0,None Noted
8,Colorado,80439,2,0,None Noted
8,Colorado,80445,2,0,None Noted
8,Colorado,80503,2,0,None Noted
8,Colorado,80524,2,0,None Noted
8,Colorado,80526,2,0,None Noted
8,Colorado,80664,2,0,None Noted
8,Colorado,80664,3,0,None Noted
8,Colorado,80665,2,0,None Noted
9,Connecticut,90042,1,0,None Noted
9,Connecticut,90042,2,42,"Other Working Vehicle (Not Construction, Maintenance, Utility, Police, Fire, or EMS Vehicle)"
9,Connecticut,90063,1,0,None Noted
9,Connecticut,90111,3,0,None Noted
9,Connecticut,90154,3,0,None Noted
9,Connecticut,90179,1,0,None Noted
9,Connecticut,90179,2,0,None Noted
9,Connecticut,90250,3,0,None Noted
9,Connecticut,90295,2,0,None Noted
9,Connecticut,90295,3,0,None Noted
9,Connecticut,90295,4,0,None Noted
9,Connecticut,90295,5,0,None Noted
9,Connecticut,90295,6,0,None Noted
9,Connecticut,90295,7,0,None Noted
9,Connecticut,90316,2,0,None Noted
9,Connecticut,90324,3,0,None Noted
9,Connecticut,90329,1,0,None Noted
10,Delaware,100012,3,0,None Noted
10,Delaware,100015,2,0,None Noted
10,Delaware,100066,2,0,None Noted
10,Delaware,100074,2,0,None Noted
10,Delaware,100099,1,0,None Noted
10,Delaware,100145,1,0,None Noted
11,District of Columbia,110003,3,0,None Noted
11,District of Columbia,110003,4,0,None Noted
11,District of Columbia,110003,5,0,None Noted
11,District of Columbia,110003,6,0,None Noted
11,District of Columbia,110004,2,0,None Noted
11,District of Columbia,110022,2,0,None Noted
11,District of Columbia,110028,3,0,None Noted
12,Florida,120042,3,0,None Noted
12,Florida,120111,2,0,None Noted
12,Florida,120127,2,0,None Noted
12,Florida,120127,3,0,None Noted
12,Florida,120156,3,0,None Noted
12,Florida,120161,3,0,None Noted
12,Florida,120235,2,0,None Noted
12,Florida,120350,2,0,None Noted
12,Florida,120350,3,0,None Noted
12,Florida,120357,2,0,None Noted
12,Florida,120419,2,0,None Noted
12,Florida,120419,3,0,None Noted
12,Florida,120439,2,0,None Noted
12,Florida,120453,3,0,None Noted
12,Florida,120459,2,0,None Noted
12,Florida,120495,2,0,None Noted
12,Florida,120513,3,0,None Noted
12,Florida,120513,4,0,None Noted
12,Florida,120541,2,0,None Noted
12,Florida,120571,2,0,None Noted
12,Florida,120584,3,0,None Noted
12,Florida,120584,4,0,None Noted
12,Florida,120584,5,0,None Noted
12,Florida,120588,2,0,None Noted
12,Florida,120588,3,0,None Noted
12,Florida,120588,4,0,None Noted
12,Florida,120588,5,0,None Noted
12,Florida,120635,2,0,None Noted
12,Florida,120695,2,0,None Noted
12,Florida,120798,2,0,None Noted
12,Florida,120808,2,0,None Noted
12,Florida,120823,2,0,None Noted
12,Florida,120885,3,0,None Noted
12,Florida,120885,4,0,None Noted
12,Florida,120885,5,0,None Noted
12,Florida,120885,6,0,None Noted
12,Florida,120885,7,0,None Noted
12,Florida,120885,8,0,None Noted
12,Florida,120885,9,0,None Noted
12,Florida,120885,10,0,None Noted
12,Florida,120885,11,0,None Noted
12,Florida,120885,12,0,None Noted
12,Florida,120942,2,0,None Noted
12,Florida,121011,2,0,None Noted
12,Florida,121012,3,0,None Noted
12,Florida,121048,3,0,None Noted
12,Florida,121056,2,0,None Noted
12,Florida,121056,3,0,None Noted
12,Florida,121056,4,0,None Noted
12,Florida,121184,2,0,None Noted
12,Florida,121222,2,0,None Noted
12,Florida,121244,2,0,None Noted
12,Florida,121244,3,0,None Noted
12,Florida,121244,4,0,None Noted
12,Florida,121244,5,0,None Noted
12,Florida,121244,6,0,None Noted
12,Florida,121244,7,0,None Noted
12,Florida,121244,8,0,None Noted
12,Florida,121244,9,0,None Noted
12,Florida,121244,10,0,None Noted
12,Florida,121244,11,0,None Noted
12,Florida,121255,3,0,None Noted
12,Florida,121283,2,0,None Noted
12,Florida,121288,2,0,None Noted
12,Florida,121354,2,0,None Noted
12,Florida,121451,2,0,None Noted
12,Florida,121452,2,0,None Noted
12,Florida,121452,3,0,None Noted
12,Florida,121475,4,0,None Noted
12,Florida,121498,3,0,None Noted
12,Florida,121638,2,0,None Noted
12,Florida,121643,3,0,None Noted
12,Florida,121643,4,0,None Noted
12,Florida,121646,2,0,None Noted
12,Florida,121900,3,0,None Noted
12,Florida,121910,3,0,None Noted
12,Florida,121917,1,0,None Noted
12,Florida,121917,2,0,None Noted
12,Florida,121933,2,0,None Noted
12,Florida,121933,3,0,None Noted
12,Florida,122001,2,0,None Noted
12,Florida,122007,3,0,None Noted
12,Florida,122053,3,0,None Noted
12,Florida,122160,5,0,None Noted
12,Florida,122160,6,0,None Noted
12,Florida,122182,2,0,None Noted
12,Florida,122257,2,0,None Noted
12,Florida,122397,2,0,None Noted
12,Florida,122397,3,0,None Noted
12,Florida,122397,4,0,None Noted
12,Florida,122405,2,0,None Noted
12,Florida,122599,3,0,None Noted
12,Florida,122612,3,0,None Noted
12,Florida,122641,2,0,None Noted
12,Florida,122643,2,0,None Noted
12,Florida,122704,2,0,None Noted
12,Florida,122704,3,0,None Noted
12,Florida,122704,4,0,None Noted
12,Florida,122737,2,0,None Noted
12,Florida,122759,3,0,None Noted
12,Florida,122851,6,0,None Noted
12,Florida,122873,2,0,None Noted
12,Florida,122964,2,41,"Police, Fire, or EMS Vehicle Working at the Scene of an Emergency or Performing Other Traffic Control Activities"
12,Florida,122964,3,0,None Noted
