ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10076,1,1,0,29,29,0,0,13,6,16,29,0
10076,2,1,0,0,0,15,0,13,0,15,0,32
10077,0,1,9,9,9,9,9,9,9,9,9,9
10077,1,1,0,0,0,0,0,0,0,0,0,0
10078,1,1,24,24,24,24,24,24,24,24,24,24
10079,1,1,28,28,28,28,28,28,28,28,28,28
10080,1,1,24,24,24,24,24,24,24,24,24,24
10080,2,1,0,0,0,0,0,0,0,0,0,0
10080,3,1,0,0,0,0,0,0,0,0,0,0
10081,1,1,0,0,0,0,0,0,0,0,0,0
10081,2,1,0,0,0,0,0,0,0,0,0,0
10081,3,1,0,0,0,0,0,0,0,0,0,0
10081,4,1,0,0,0,0,0,0,0,0,0,0
10081,5,1,0,0,0,0,0,0,0,0,0,0
10082,1,1,8,8,8,8,8,8,8,8,8,8
10082,2,1,0,0,0,0,0,0,0,0,0,0
10082,3,1,0,0,0,0,0,0,0,0,0,0
10083,1,1,0,0,0,0,0,0,0,0,0,0
10083,2,1,0,0,0,0,0,0,0,0,0,0
10084,1,1,0,0,0,0,0,0,0,0,0,0
10085,1,1,12,15,12,32,0,17,14,18,17,19
10085,2,1,0,0,0,0,0,0,0,0,0,0
10086,0,1,33,33,33,33,33,33,33,33,33,33
10086,1,1,0,0,0,0,0,0,0,0,0,0
10087,0,1,13,5,20,0,30,9,0,0,10,30
10087,2,1,0,7,0,0,12,0,0,0,0,0
10088,0,1,0,0,0,0,0,0,0,0,25,0
10088,1,1,0,0,0,0,0,0,0,0,0,0
10089,1,1,0,0,0,0,0,0,0,0,0,0
10089,2,1,0,0,0,0,0,0,0,0,0,0
10090,1,1,0,0,0,0,0,0,0,0,0,0
10090,2,1,0,0,0,0,0,0,0,0,9,0
10091,0,1,0,0,0,0,0,0,0,0,0,0
10091,1,1,0,0,0,0,0,0,0,0,0,0
10092,1,1,0,0,0,0,0,0,0,0,0,0
10092,2,1,6,0,0,0,0,0,0,0,0,0
10093,1,1,0,0,0,0,0,0,0,0,0,0
10093,2,1,0,0,0,0,0,0,0,0,0,0
10094,0,1,0,0,0,0,0,0,0,0,0,0
10094,1,1,0,0,0,0,0,0,0,0,0,0
10095,1,1,20,20,20,20,20,20,20,20,20,20
10096,1,1,27,27,27,27,27,27,27,27,27,27
10097,1,1,0,0,0,0,0,0,0,0,0,0
10098,1,1,0,0,0,0,0,0,0,0,0,0
10099,1,1,0,0,0,0,0,0,0,0,0,0
10099,2,1,0,0,0,0,0,0,0,0,0,0
10100,1,1,0,0,0,0,0,0,0,0,0,0
10101,0,1,30,19,0,14,15,5,0,0,0,0
10101,1,1,0,0,0,0,0,0,0,0,0,0
10101,2,1,0,0,0,0,0,0,0,0,0,0
10102,1,1,0,0,23,15,0,23,0,0,10,18
10102,2,1,0,0,0,0,0,0,0,0,0,0
10103,1,1,0,0,21,0,0,18,0,0,0,0
