ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
40719,1,1,20,0,0,0,0,0,0,0,0,0
40720,1,2,10,0,4,10,18,19,0,0,11,0
40721,1,1,0,32,0,17,32,10,10,0,0,25
40722,1,1,19,19,19,19,19,19,19,19,19,19
40723,1,1,0,10,0,0,16,0,0,0,0,0
40723,2,1,0,0,0,0,0,0,0,0,0,0
40723,3,1,0,0,0,0,0,0,0,0,0,0
40723,4,1,0,0,0,0,0,0,0,0,0,0
40723,5,1,0,20,0,0,0,0,0,9,0,20
40723,6,1,0,2,0,0,0,0,8,0,0,0
40724,1,1,0,0,0,0,0,0,9,0,15,0
40724,2,1,6,0,0,0,0,0,0,0,0,0
40725,1,1,7,0,0,4,30,0,0,0,0,0
40726,0,1,0,0,0,18,0,0,0,0,0,36
40726,1,1,16,0,0,0,18,13,0,17,12,0
40727,1,1,0,0,0,11,15,0,14,15,0,10
40728,1,1,0,0,0,0,0,0,0,0,0,0
40729,0,1,19,0,0,24,0,3,22,0,0,29
40729,1,1,0,17,13,26,20,9,0,10,0,7
40730,1,1,18,18,18,18,18,18,18,18,18,18
40731,1,1,15,24,29,20,15,24,26,27,23,21
40732,1,1,35,35,35,35,35,35,35,35,35,35
40733,1,1,0,0,0,0,0,0,0,0,0,0
40734,1,1,7,0,0,5,0,0,9,0,0,0
40735,1,1,0,0,4,8,0,0,0,26,0,8
40736,1,1,0,28,0,0,0,0,0,0,0,21
40737,1,1,0,18,0,0,5,0,0,2,0,0
40737,2,1,0,0,22,0,0,3,0,0,0,19
40738,1,1,0,12,10,9,0,23,0,21,0,0
40739,0,1,0,0,0,0,0,0,0,0,0,0
40739,1,1,8,19,10,21,0,27,25,9,0,8
40740,1,1,0,0,0,0,13,0,0,0,0,0
40741,1,1,0,0,0,13,0,13,0,0,0,0
40741,2,1,16,0,0,0,0,0,22,0,0,0
40743,1,1,2,14,0,26,12,12,14,0,24,0
40743,2,1,0,0,0,0,0,10,0,0,0,0
40744,1,1,17,37,0,0,22,10,17,17,8,0
40744,2,1,0,16,10,0,0,0,6,0,0,5
40745,0,1,0,0,0,14,0,0,36,0,0,27
40745,1,1,24,0,0,0,28,5,9,0,0,0
40746,0,1,0,0,0,0,0,0,0,0,0,0
40746,1,1,0,0,11,0,0,36,10,0,0,0
40747,1,1,0,0,0,0,30,0,0,0,0,0
40748,1,1,8,0,0,15,8,0,0,16,0,0
40749,0,1,18,18,18,18,18,18,18,18,18,18
40749,1,1,0,0,0,0,0,0,0,0,0,12
40750,1,1,11,22,7,23,0,13,0,0,0,17
40750,2,1,0,0,0,0,0,0,0,0,0,0
40751,1,1,6,23,17,0,18,0,9,0,0,17
40751,2,1,0,0,0,11,0,9,0,5,12,18
40752,1,1,12,26,9,3,0,11,9,5,14,21
40753,0,1,27,33,29,37,16,14,13,20,21,22
40753,1,1,27,0,8,0,0,0,0,27,0,0
40754,1,1,0,0,28,7,0,0,0,0,0,0
40754,2,1,0,0,0,0,0,0,0,0,0,0
40755,0,1,0,0,13,21,0,0,0,0,0,20
40755,1,1,0,0,0,0,0,9,0,0,0,0
40756,1,1,0,0,0,0,0,0,0,0,0,0
40756,2,1,0,0,0,0,0,2,0,0,0,0
40757,1,1,0,0,3,0,0,15,0,0,31,0
40757,2,1,26,0,0,0,0,0,0,0,0,0
40758,1,1,0,10,0,0,0,0,0,0,0,0
40758,2,1,0,0,0,0,0,0,0,0,0,0
40759,1,1,0,22,0,0,0,0,0,0,0,0
40759,2,1,17,0,0,0,0,0,9,0,19,0
40760,1,1,0,0,0,10,24,21,0,0,0,11
40760,2,1,38,0,0,0,0,9,7,0,0,0
40761,1,1,0,0,0,0,0,0,0,33,0,0
40762,0,1,34,22,0,26,38,0,0,26,0,22
40762,1,1,0,10,19,18,18,19,0,0,0,0
40762,2,1,9,0,0,0,20,0,21,0,0,12
40763,0,1,0,0,0,0,0,0,0,0,0,0
40763,1,1,0,0,0,0,0,0,0,0,0,0
40764,1,1,0,0,0,0,0,0,0,0,12,0
40764,2,1,0,0,0,0,0,0,0,0,0,0
40765,0,1,28,28,28,28,28,28,28,28,28,28
40765,1,1,0,0,27,0,0,0,0,0,0,0
40766,1,1,0,0,0,0,0,0,0,0,0,0
40767,1,1,20,0,0,0,0,9,0,0,0,0
40767,2,1,0,0,15,0,0,0,0,0,3,19
40768,1,1,0,0,0,0,0,0,0,0,0,0
40768,2,1,0,0,0,0,0,0,15,0,0,0
40769,1,1,21,0,13,11,0,0,5,14,17,14
40770,1,1,0,0,0,0,0,0,0,0,0,0
40770,2,1,0,0,0,0,0,0,0,0,0,0
40771,0,1,0,7,30,0,0,0,0,0,0,0
40771,1,1,0,0,15,0,9,0,0,12,0,23
40772,1,1,20,0,0,0,0,0,0,0,0,0
40772,2,1,0,0,0,0,0,0,27,0,20,6
40773,1,1,8,0,36,0,0,15,12,10,0,19
40774,1,1,0,19,13,10,12,0,18,24,31,21
40774,2,1,0,0,0,0,0,0,0,0,0,0
40775,0,1,0,0,0,0,0,0,0,0,0,0
40775,1,1,0,6,0,20,11,13,11,0,26,25
40776,1,1,0,0,0,0,0,0,0,0,0,0
40776,2,1,7,0,0,16,0,13,0,0,0,0
40777,1,1,0,0,0,0,0,0,0,0,0,0
40778,1,1,0,0,0,0,25,0,0,0,0,0
40779,1,1,0,0,0,0,0,0,0,0,0,0
40780,1,1,13,19,29,5,30,9,0,26,19,8
40781,0,1,18,0,0,0,0,0,0,0,0,0
40781,1,1,0,0,0,0,0,0,0,0,5,0
40782,1,1,0,19,20,0,13,0,0,17,9,18
40783,1,1,0,0,0,0,0,0,0,0,0,0
40783,2,1,0,0,0,0,0,0,0,0,0,0
40783,3,1,0,0,0,0,0,0,0,0,0,0
40784,1,1,10,16,22,11,26,8,10,10,14,15
40784,2,1,0,0,0,0,0,0,0,0,0,23
40785,1,1,0,0,0,0,0,0,0,0,0,0
40786,0,1,0,0,0,0,0,0,0,0,0,0
40786,0,2,13,0,0,0,0,0,12,0,0,0
40786,1,1,0,9,0,0,0,0,11,13,23,0
40787,1,1,0,22,0,0,0,0,0,0,0,0
40787,2,1,0,0,0,21,0,15,0,0,0,9
40787,3,1,0,11,22,0,0,0,0,2,0,0
40787,4,1,13,0,0,0,0,0,0,30,0,5
40787,5,1,0,0,0,10,0,0,0,0,0,0
40787,6,1,0,23,13,0,0,0,20,0,0,0
40788,1,1,32,32,32,32,32,32,32,32,32,32
40788,2,1,0,18,0,0,0,0,0,0,0,0
40789,1,1,16,16,16,16,16,16,16,16,16,16
40790,1,1,0,0,0,0,0,0,0,0,0,0
40790,2,1,0,0,0,0,0,0,0,0,0,0
40791,1,1,0,0,0,0,0,0,0,0,0,0
40792,1,1,19,20,0,0,28,0,0,3,28,6
40792,3,1,0,0,3,0,0,0,0,0,0,0
40793,0,1,0,0,0,0,0,0,0,0,0,0
40793,1,1,0,0,0,0,0,0,0,0,0,0
40794,1,1,29,29,29,29,29,29,29,29,29,29
40794,2,1,0,24,0,0,0,7,0,0,0,23
40794,3,1,34,0,0,0,0,0,17,0,0,4
40795,1,1,0,0,0,0,0,0,0,0,0,0
40796,0,1,0,19,0,28,0,0,0,0,0,30
40796,1,1,0,0,7,10,0,0,0,25,0,0
40797,0,1,0,0,0,0,0,0,0,0,0,0
40797,1,1,0,0,0,0,0,0,0,0,0,0
40798,0,1,27,27,27,27,27,27,27,27,27,27
40798,1,1,0,0,0,0,0,0,0,0,0,0
40799,1,1,0,0,0,0,0,0,0,0,0,0
40799,2,1,0,17,0,0,7,12,0,0,0,0
40800,0,1,22,0,0,0,0,0,0,0,0,0
40800,1,1,0,0,35,0,14,20,8,17,0,0
40801,1,1,0,0,0,0,0,0,0,0,0,0
40802,1,1,0,0,0,0,0,0,0,0,0,0
40802,2,1,0,0,0,0,0,0,12,18,0,0
40802,3,1,18,0,0,0,0,12,0,24,0,0
40802,4,1,0,2,0,0,6,0,0,7,22,9
40802,5,1,0,0,0,0,0,0,17,0,0,0
40802,6,1,0,0,17,13,0,0,0,0,0,0
40803,0,1,16,16,16,16,16,16,16,16,16,16
40803,1,1,0,11,9,0,7,9,0,0,0,0
40804,1,1,0,0,0,0,0,0,7,0,0,0
40804,2,1,9,0,0,0,0,0,0,10,0,0
40804,3,1,0,2,0,0,0,0,0,0,0,0
40805,0,1,0,0,0,0,0,0,0,5,0,0
40805,1,1,0,10,15,0,0,20,0,13,0,0
40806,1,1,0,0,0,0,0,0,0,0,0,0
40806,2,1,0,0,0,13,0,0,4,0,0,16
40807,0,1,0,0,0,0,0,0,0,0,0,0
40807,1,1,0,0,0,0,0,0,0,0,0,0
40807,2,1,0,0,0,17,42,0,0,16,0,0
40808,1,1,0,0,11,0,0,0,0,0,0,0
40808,2,1,0,0,0,0,0,0,0,0,0,0
40809,1,1,0,0,0,0,0,0,0,0,0,0
40809,2,1,0,0,0,0,0,0,10,0,0,0
40810,1,1,0,16,0,0,0,40,0,0,0,0
40810,2,1,0,0,0,0,0,0,18,0,0,0
40810,3,1,0,0,0,0,0,0,23,0,0,0
40811,0,1,0,0,0,0,0,0,0,0,0,0
40811,1,1,0,0,20,0,0,0,0,0,24,16
40812,1,1,0,0,0,8,0,0,0,0,0,0
40813,0,1,5,29,35,0,11,18,18,15,22,37
40813,1,1,0,0,0,0,0,0,0,0,0,21
40815,1,1,21,42,0,0,31,0,0,0,9,0
40815,2,1,0,0,0,0,0,0,6,0,0,0
40816,1,1,14,11,5,32,27,0,0,24,0,16
40817,1,1,14,0,23,0,0,0,0,0,11,0
40817,2,1,0,0,0,4,0,6,0,10,16,16
40817,3,1,8,0,0,0,0,0,0,14,0,10
40818,1,1,17,17,17,17,17,17,17,17,17,17
40818,2,1,0,0,0,0,0,0,4,0,0,11
40819,1,1,0,0,0,0,0,0,0,0,0,0
40819,2,1,0,0,0,0,2,0,0,0,0,0
40820,0,1,18,27,30,20,0,8,0,25,6,0
40820,1,1,0,0,0,0,0,0,0,0,0,0
40821,1,1,0,16,29,0,0,25,17,20,0,12
40822,1,1,9,21,26,46,25,0,9,9,18,20
40822,2,1,0,22,29,0,6,0,9,25,0,0
40823,1,1,6,0,0,24,0,0,0,0,10,0
40823,2,1,0,0,0,0,3,0,0,0,0,0
40824,1,1,0,0,11,24,10,0,0,12,21,0
40825,1,1,0,0,0,10,0,14,0,0,0,0
40825,2,1,0,0,0,0,14,0,0,19,7,7
40825,3,1,0,27,12,40,0,0,0,0,15,19
40826,1,1,0,0,0,0,0,0,0,0,0,0
40826,2,1,0,0,0,0,0,0,0,0,0,0
40827,1,1,0,0,0,0,0,0,0,0,0,0
40827,2,1,0,0,0,0,0,0,0,0,0,0
40828,1,1,0,0,0,0,15,29,0,8,0,0
40828,2,1,0,0,0,0,0,0,0,0,0,0
40829,1,1,0,30,24,24,13,40,32,39,33,3
40829,2,1,0,0,0,0,0,0,0,0,0,10
40830,1,1,0,0,0,0,0,28,0,0,15,0
40831,1,1,0,0,8,0,0,0,0,0,0,0
40832,1,1,0,0,19,9,0,0,0,0,23,12
40833,1,1,0,0,0,0,0,21,2,0,17,0
40833,2,1,0,0,0,0,0,0,0,0,0,0
40834,1,1,16,19,13,16,12,20,18,4,12,9
40834,2,1,27,0,0,0,0,10,0,0,0,0
40834,3,1,0,21,0,22,0,0,0,0,0,0
40835,1,1,15,0,17,10,11,0,10,0,23,0
40836,1,1,19,0,23,0,0,0,0,0,0,0
40837,0,1,15,0,0,0,4,0,33,0,0,0
40837,1,1,0,0,0,0,0,9,0,0,0,0
40838,1,1,0,0,0,0,0,0,0,0,0,0
40838,2,1,0,0,0,0,0,0,0,0,0,0
40839,0,1,0,0,0,0,0,0,0,0,0,0
40839,1,1,0,0,0,9,0,28,0,0,0,0
40840,1,1,0,0,0,12,0,0,6,0,0,0
40841,0,1,25,25,25,25,25,25,25,25,25,25
40841,1,1,0,0,0,0,21,0,0,0,0,7
40842,1,1,37,37,37,37,37,37,37,37,37,37
40843,1,1,17,0,17,18,0,0,22,0,9,0
40844,0,1,0,0,0,0,0,0,0,0,0,10
40844,1,1,0,0,0,0,0,0,0,0,0,0
40845,1,1,0,0,0,0,17,16,0,0,0,32
40846,1,1,0,0,0,0,0,0,0,0,0,0
40847,0,1,0,0,0,0,0,0,0,0,0,0
40847,1,1,0,0,9,25,19,0,0,18,17,3
40848,1,1,0,0,0,0,0,0,0,0,0,0
40849,1,1,0,0,16,0,0,0,0,4,0,0
40849,2,1,0,0,0,0,0,0,0,0,0,18
40850,1,1,14,14,14,14,14,14,14,14,14,14
40851,1,1,0,0,0,0,0,0,0,0,0,0
40851,2,1,0,0,0,0,0,0,0,0,0,0
40852,1,1,0,18,0,32,0,0,0,0,0,21
40852,2,1,0,0,6,0,9,16,0,10,0,0
40853,1,1,18,18,18,18,18,18,18,18,18,18
40854,1,1,12,14,11,0,22,27,25,16,15,0
40855,1,1,0,0,0,0,0,0,0,0,0,0
40855,2,1,0,0,25,0,0,0,0,0,0,0
40856,1,1,15,0,0,0,0,16,0,0,0,0
40856,2,1,0,0,0,0,0,0,0,0,0,0
40857,1,1,0,0,0,15,0,0,24,9,0,0
40857,2,1,0,0,0,0,0,0,0,0,19,0
40858,0,1,0,0,0,0,10,0,18,0,0,15
40858,1,1,0,14,21,0,0,0,15,7,0,0
40859,0,1,0,43,0,0,0,0,22,0,0,0
40859,1,1,0,0,0,0,0,0,0,0,0,0
40860,1,1,0,0,0,0,0,0,0,0,13,0
40861,1,1,0,0,0,0,0,0,0,0,0,0
40862,1,1,0,0,0,0,0,0,0,0,0,0
40862,2,1,0,0,0,0,0,0,27,0,0,29
40862,3,1,0,0,16,26,0,0,17,0,0,0
40863,1,1,0,0,0,0,0,0,0,0,0,0
40863,2,1,0,0,0,0,0,0,0,0,0,0
40864,0,1,24,24,24,24,24,24,24,24,24,24
40864,1,1,0,0,18,0,0,0,0,0,0,0
40865,0,1,21,21,21,21,21,21,21,21,21,21
40865,1,1,9,0,0,0,0,0,0,15,0,0
40866,0,1,0,0,0,0,0,36,0,0,0,14
40866,1,1,15,11,28,9,19,0,2,0,0,0
40867,1,1,0,15,0,11,21,22,6,0,0,26
40868,1,1,6,0,0,0,0,13,0,0,13,0
40869,0,1,0,0,0,0,0,0,0,0,0,0
40869,1,1,0,0,0,21,15,23,13,0,0,15
40870,0,1,0,25,0,0,0,0,0,0,0,0
40870,1,1,0,0,5,0,11,23,0,0,10,2
40870,2,1,0,17,0,19,25,16,15,0,0,5
40871,1,1,0,0,0,0,0,0,0,0,0,0
40871,2,1,0,0,0,0,0,0,0,0,15,0
40871,3,1,0,0,0,17,0,0,0,0,0,0
40872,1,1,17,0,0,9,19,0,0,0,12,24
40873,1,1,0,0,0,0,0,0,0,0,0,0
40873,2,1,15,0,17,0,0,0,0,0,7,0
40873,3,1,0,0,4,0,14,0,0,0,0,6
40874,0,1,0,0,0,0,0,0,11,0,0,0
40874,1,1,0,0,0,5,0,0,0,0,0,0
40875,1,1,17,10,0,5,16,5,3,0,16,5
40876,1,1,0,0,0,0,0,0,0,0,0,0
40876,2,1,0,0,0,0,0,0,0,0,0,0
40877,1,1,18,0,0,0,0,0,0,0,0,0
40878,1,1,0,0,0,0,0,0,0,0,16,0
40879,1,1,0,0,19,0,12,0,0,0,0,0
40879,2,1,0,14,0,23,0,13,6,0,0,0
40880,0,1,0,0,0,25,0,18,0,0,0,0
40880,1,1,0,0,0,0,0,0,0,0,0,13
40881,1,1,22,22,22,22,22,22,22,22,22,22
40882,1,1,0,13,0,0,0,19,0,0,0,0
40883,0,1,0,0,0,0,0,0,0,0,0,0
40883,1,1,0,13,0,0,0,0,0,0,0,0
40884,1,1,0,0,12,0,0,13,0,0,0,13
40884,2,1,0,0,0,0,0,0,0,0,0,0
40885,1,1,0,0,0,0,0,0,0,0,0,0
40885,2,1,0,0,0,0,0,0,0,0,0,0
40886,1,1,16,16,16,16,16,16,16,16,16,16
40886,2,1,16,0,29,21,19,17,36,19,17,14
40887,1,1,0,0,0,0,0,8,0,0,0,0
40888,1,1,10,15,0,10,29,0,15,0,23,26
40889,1,1,0,0,10,0,0,0,0,0,14,0
40889,2,1,9,0,0,0,0,0,0,0,0,0
40889,3,1,0,0,0,0,0,0,0,0,0,18
40890,0,1,0,18,0,15,0,0,21,29,0,0
40890,1,1,11,0,0,21,15,8,0,0,19,0
40891,1,1,0,0,0,0,0,0,0,0,0,0
40891,2,1,0,0,0,6,6,0,0,0,0,0
40891,3,1,0,0,0,0,0,0,0,0,0,0
40892,0,1,0,0,0,0,0,0,0,0,0,0
40892,1,1,0,0,0,0,0,0,0,0,0,0
40893,1,1,32,32,32,32,32,32,32,32,32,32
40894,1,1,0,0,0,0,0,0,0,0,0,0
40895,1,1,12,9,0,0,6,10,16,0,19,6
40896,1,1,4,45,8,13,0,31,0,19,10,0
40897,0,1,0,0,0,0,0,0,0,0,0,0
40897,1,1,0,12,30,25,0,17,16,0,9,0
40898,1,1,18,32,12,28,19,27,20,9,39,16
40899,0,1,0,16,0,0,0,0,0,16,0,0
40899,1,1,0,0,0,0,0,0,0,0,0,0
40900,1,2,0,0,0,0,0,0,0,0,0,0
40901,0,1,0,0,0,0,0,0,0,0,0,0
40901,1,1,0,0,4,18,7,0,0,0,21,27
40902,0,1,0,14,15,6,0,0,0,0,0,0
40902,1,1,0,0,0,0,0,6,10,0,0,0
40903,1,1,20,20,20,20,20,20,20,20,20,20
40905,1,1,0,0,0,0,0,0,0,0,0,0
40905,2,1,0,0,0,0,0,0,0,0,0,0
40906,1,1,0,0,0,0,0,0,0,0,0,0
40906,2,1,0,0,0,0,0,0,0,0,0,0
40907,1,1,0,0,0,0,0,0,0,0,0,0
40907,2,1,0,5,0,0,0,5,0,0,0,0
40908,0,1,22,22,22,22,22,22,22,22,22,22
40908,1,1,0,0,0,0,0,0,0,0,0,0
40909,1,1,0,0,0,0,0,0,0,0,0,0
40909,2,1,0,0,0,0,0,0,0,0,0,0
40909,3,1,0,0,0,0,0,0,0,0,0,0
40909,4,1,0,0,0,0,0,0,9,0,0,0
40909,5,1,0,0,0,0,0,0,0,0,0,0
40909,6,1,0,0,0,0,0,0,0,0,0,0
40910,1,1,13,0,0,0,0,0,0,0,0,0
40910,2,1,0,0,0,0,0,0,0,0,0,0
40911,0,1,0,0,0,0,0,27,0,0,0,0
40911,1,1,0,0,0,31,37,0,0,16,0,15
40912,0,1,21,0,0,0,0,0,0,0,0,0
40912,1,1,0,0,0,0,14,0,0,0,0,10
40913,1,1,0,17,12,0,32,0,11,9,0,17
40914,0,1,15,23,4,0,0,33,11,19,13,12
40914,1,1,0,0,22,0,0,0,0,12,0,0
40915,1,1,0,0,14,0,0,0,0,0,22,0
40916,1,1,0,16,22,0,28,17,9,18,9,29
40917,1,1,20,20,20,20,20,20,20,20,20,20
40917,2,1,9,0,0,9,3,0,0,0,0,0
40917,3,1,9,0,0,0,0,13,2,0,0,0
40918,0,1,20,0,9,3,18,23,0,0,0,0
40918,1,1,5,0,0,0,15,0,15,0,11,0
40919,1,1,12,12,12,12,12,12,12,12,12,12
40920,1,1,0,0,0,0,0,24,0,0,0,0
40920,2,1,0,0,0,17,0,0,0,0,0,14
40921,1,1,0,0,0,40,4,0,7,16,0,0
40922,1,1,0,17,0,0,0,0,8,0,0,23
40923,1,1,0,0,0,0,0,0,0,0,0,0
40923,2,1,0,0,0,0,0,0,0,0,0,0
40924,1,1,0,0,0,0,0,3,0,0,0,0
40924,2,1,0,0,0,0,0,0,0,0,0,0
40925,0,1,10,10,10,10,10,10,10,10,10,10
40925,1,1,17,0,0,0,0,0,0,0,0,0
40926,0,1,0,0,0,0,0,0,0,0,0,0
40926,1,1,0,25,0,24,17,0,0,12,13,0
40927,1,1,0,0,0,0,0,0,0,0,0,0
40928,1,1,20,4,0,23,14,12,18,18,12,0
40929,1,1,21,0,0,0,33,38,13,0,0,0
40929,2,1,0,0,0,0,0,0,0,0,0,0
40930,1,1,0,15,0,14,0,0,15,0,0,4
40931,1,1,0,0,0,0,0,0,0,0,0,0
40931,2,1,0,0,0,0,0,0,0,0,0,0
40932,1,1,28,28,28,28,28,28,28,28,28,28
40932,2,1,0,0,0,0,0,0,0,0,0,0
40932,3,1,0,0,0,22,0,0,0,0,0,0
40933,1,1,0,0,0,0,0,0,0,0,0,0
40933,2,1,26,21,3,0,11,0,0,2,0,0
40934,0,1,0,0,0,0,11,18,0,0,0,0
40934,1,1,14,0,13,0,8,0,16,0,0,0
40935,0,1,0,0,13,0,0,0,0,0,0,0
40935,1,1,0,0,0,0,0,0,0,0,0,0
40936,0,1,0,0,0,0,30,0,17,0,0,0
40936,1,1,0,0,16,0,0,0,0,0,6,8
40937,1,1,20,20,20,20,20,20,20,20,20,20
40938,1,1,16,16,16,16,16,16,16,16,16,16
40939,1,1,0,0,0,0,0,0,0,0,0,0
40939,2,1,0,0,0,0,29,0,0,0,0,0
40940,1,1,1,1,1,1,1,1,1,1,1,1
40940,2,1,0,0,0,0,0,0,0,0,0,0
40941,1,1,0,0,0,0,0,0,0,0,0,0
40942,1,1,0,28,12,0,0,0,0,16,0,0
40943,1,1,20,20,20,20,20,20,20,20,20,20
40944,1,1,27,27,27,27,27,27,27,27,27,27
40945,1,1,10,0,0,0,0,0,14,0,0,15
40946,1,1,0,0,0,0,0,0,0,0,0,0
40947,1,1,0,0,0,0,0,0,0,0,0,0
40947,2,1,0,0,11,11,5,0,0,0,0,20
40948,0,1,0,0,0,0,0,0,0,0,0,0
40948,1,1,4,14,9,0,9,0,0,7,8,0
40949,0,1,17,0,16,0,0,0,0,0,0,20
40949,1,1,0,0,0,0,0,0,0,0,0,0
40950,0,1,9,0,24,18,9,19,22,14,15,21
40950,1,1,0,0,0,0,0,12,0,0,0,0
40951,1,1,0,0,0,0,0,0,0,0,0,0
40953,0,1,0,0,0,0,40,0,0,0,0,0
40953,1,1,0,0,0,5,0,0,0,0,0,0
40954,0,1,0,0,0,0,32,24,18,0,0,31
40954,1,1,0,0,0,9,0,0,0,21,9,0
40955,1,1,0,17,0,0,0,0,0,0,26,0
40956,1,1,4,15,9,3,0,8,23,0,24,23
40956,2,1,0,0,3,0,0,0,0,0,0,0
40957,0,1,0,17,0,21,0,0,0,0,16,37
40957,1,1,0,0,0,0,0,0,0,0,0,0
40958,1,1,36,8,10,0,17,30,14,11,5,0
40959,0,1,22,22,22,22,22,22,22,22,22,22
40959,1,1,0,0,0,0,0,11,0,0,0,0
40960,0,1,0,0,0,0,0,0,0,0,0,9
40960,1,1,0,0,0,0,0,0,0,11,0,0
40960,2,1,0,0,0,0,14,0,13,0,0,0
40960,3,1,0,17,0,10,0,17,21,16,0,0
40961,1,1,0,0,0,0,0,0,0,0,0,0
40962,0,1,0,0,0,0,0,0,0,0,0,0
40962,1,1,0,11,22,0,0,0,0,21,0,0
40963,0,1,0,0,0,0,0,0,0,0,0,0
40963,1,1,0,0,17,31,0,0,0,0,0,28
40964,1,1,28,0,0,27,5,0,0,0,17,15
40965,1,1,18,23,23,34,19,35,19,25,0,18
40966,1,1,0,16,19,20,4,17,28,0,0,22
40967,1,1,0,0,0,17,12,0,0,0,0,17
40968,0,1,0,0,0,0,0,0,0,0,0,0
40968,1,1,0,20,0,0,0,0,0,0,0,0
40970,0,1,30,30,30,30,30,30,30,30,30,30
40970,1,1,15,2,30,0,19,10,8,21,0,5
40971,0,1,0,0,0,0,0,0,0,0,0,0
40971,1,1,0,2,0,3,28,0,0,19,0,0
40972,0,1,2,2,2,2,2,2,2,2,2,2
40972,1,1,0,0,0,0,0,0,0,0,0,0
40973,1,1,0,17,0,0,28,13,16,0,0,0
40973,2,1,8,0,0,0,21,17,39,16,0,0
40973,3,1,12,0,0,4,0,0,0,0,0,23
40974,1,1,0,0,0,0,0,0,0,0,0,0
40975,0,1,5,0,5,9,0,8,12,0,0,0
40975,1,1,0,0,15,0,0,0,0,0,0,0
40976,1,1,21,21,21,21,21,21,21,21,21,21
40977,1,1,0,0,0,0,0,0,0,0,0,0
40977,2,1,0,0,0,0,0,0,0,0,0,0
40979,1,1,0,0,0,0,0,0,0,0,0,0
40979,2,1,0,0,0,0,0,0,0,0,0,0
40980,0,1,0,0,9,0,10,0,0,0,26,0
40980,1,1,0,0,8,0,0,0,0,0,0,0
40981,1,1,0,0,0,0,0,0,0,0,0,0
40982,1,1,0,0,0,0,0,0,0,0,0,0
40982,2,1,9,0,9,0,13,0,17,0,0,10
40983,1,1,0,14,12,34,11,0,8,18,0,32
40983,2,1,20,0,34,0,0,0,0,0,0,21
40984,0,1,0,0,0,0,0,0,5,8,16,15
40984,1,1,0,24,13,0,0,7,9,9,14,0
40985,0,1,7,0,16,0,13,0,0,43,23,0
40985,1,1,0,16,0,0,27,0,0,9,0,0
40985,2,1,0,4,28,13,8,10,0,19,0,0
40986,1,1,0,16,23,0,0,0,0,0,16,0
40986,2,1,0,0,0,0,0,0,0,0,0,0
40987,1,1,0,9,0,34,24,0,9,11,0,0
40988,1,1,0,0,9,24,22,0,0,0,16,0
40988,2,1,0,0,0,13,0,0,0,0,0,0
40989,0,1,0,0,0,0,0,0,0,0,0,0
40989,1,1,17,0,0,17,0,25,20,35,14,0
40990,0,1,42,0,40,14,13,13,0,31,38,0
40990,1,1,0,0,0,26,0,0,0,0,0,0
40991,1,1,0,0,0,16,0,12,0,0,0,23
40991,2,1,0,0,0,0,0,0,0,0,0,0
40992,1,1,9,9,9,9,9,9,9,9,9,9
40992,2,1,0,11,0,0,0,0,0,0,0,0
40993,1,1,0,0,0,0,0,0,0,0,0,0
40994,1,1,25,21,15,0,16,0,0,13,7,0
40994,2,1,0,0,0,0,0,0,0,0,0,0
40995,1,1,0,4,0,0,0,0,24,0,0,0
40996,0,1,10,27,16,13,35,14,7,8,19,11
40996,1,1,0,0,8,0,0,23,0,0,26,12
40996,2,1,0,11,11,0,4,24,0,0,13,0
40997,0,1,0,0,0,0,0,0,0,0,0,0
40997,1,1,0,0,0,29,0,0,8,0,0,17
40998,0,1,0,15,0,13,11,18,0,0,0,12
40998,1,1,0,0,21,25,0,32,30,0,13,0
40999,1,1,18,27,9,20,5,9,29,13,0,10
41000,1,1,0,0,0,0,0,0,0,0,8,0
41001,1,1,0,0,0,0,0,0,0,0,0,0
41001,2,1,0,0,0,0,0,0,0,0,0,0
41002,0,1,39,39,39,39,39,39,39,39,39,39
41002,1,1,0,0,0,11,0,15,0,11,0,0
41003,1,1,20,20,20,20,20,20,20,20,20,20
41003,2,1,0,0,0,0,20,0,14,0,0,0
41004,1,1,18,18,18,18,18,18,18,18,18,18
41005,0,1,0,26,0,15,33,0,0,0,25,0
41005,1,1,0,0,0,0,0,0,0,0,0,0
41006,0,1,0,0,0,0,0,0,0,0,0,0
41006,1,1,13,15,5,10,22,14,6,20,5,18
41007,1,1,12,12,12,12,12,12,12,12,12,12
41007,2,1,0,0,0,0,0,0,0,10,0,0
41007,3,1,18,32,10,0,0,0,13,18,9,0
41007,4,1,0,0,0,0,0,0,0,0,0,0
41008,0,1,0,0,0,14,0,0,0,32,0,0
41008,1,1,0,0,0,0,0,0,0,0,0,7
41009,1,1,19,19,19,19,19,19,19,19,19,19
41009,2,1,9,6,0,0,0,0,0,28,0,0
41011,0,1,28,28,28,28,28,28,28,28,28,28
41011,1,1,0,0,0,18,8,4,0,0,21,19
41012,0,1,0,0,0,0,0,0,0,0,0,0
41012,1,1,0,6,0,0,0,0,9,6,0,5
41013,0,1,0,0,0,0,0,0,0,0,0,0
41013,1,1,0,0,0,0,0,0,0,0,0,0
41014,1,1,0,0,0,0,0,0,0,0,0,0
41014,2,1,0,0,18,24,0,0,0,0,3,0
41015,1,1,0,0,0,0,0,0,0,0,0,0
